d1,d2,type
681,1334,75
1014,160,66
152,444,5
176,1391,9
134,169,25
115,801,5
19,686,12
1095,455,9
1223,840,9
555,379,25
905,122,5
1345,1254,9
561,1336,25
770,119,63
560,1371,66
107,27,5
62,1479,66
1459,684,14
452,112,25
284,244,53
670,455,9
284,444,9
1345,852,63
1105,623,20
654,908,75
197,1064,53
681,887,53
415,755,25
571,791,25
485,399,41
1131,99,5
1026,242,34
1507,989,6
34,949,5
641,916,25
1046,827,78
1243,369,12
1144,315,5
1146,1416,9
679,1223,9
69,27,5
36,938,25
312,117,45
943,1102,9
838,953,12
374,1444,25
955,1244,25
287,862,66
1286,1321,9
62,301,50
1434,679,5
960,988,5
1289,1271,12
26,444,5
950,898,75
26,748,9
351,943,25
762,27,5
752,889,75
990,1066,9
549,602,25
1088,888,6
1224,53,5
362,1433,5
190,60,75
418,1009,25
718,1146,25
757,235,25
1085,913,12
1071,619,25
898,124,9
284,1392,9
1386,484,9
874,1063,25
1102,1100,14
1258,560,6
162,455,9
1049,1349,9
1051,374,5
298,710,25
95,1332,8
1513,308,5
509,668,14
486,27,5
1065,374,9
1188,909,9
665,1254,9
910,1360,25
110,654,75
314,419,25
662,444,5
71,923,9
1045,836,25
289,827,25
603,795,25
1443,366,66
568,938,25
1046,482,25
256,769,9
21,716,47
274,1352,25
49,1433,5
236,708,25
309,59,25
232,69,5
622,116,5
621,1377,9
1185,990,12
837,301,66
952,757,25
1304,1392,9
1424,165,25
1031,968,5
25,53,5
933,1045,25
400,579,25
363,315,5
1006,244,25
379,889,25
631,560,25
378,49,5
521,650,53
990,780,12
916,926,25
1471,201,53
1067,888,6
158,286,25
544,1331,9
576,271,25
415,221,25
1048,1062,25
709,789,25
529,812,75
585,814,46
482,499,25
312,627,25
1379,534,9
67,1422,12
204,674,66
960,802,25
517,47,5
269,888,6
688,109,5
151,315,5
314,988,5
724,801,5
210,459,25
660,797,25
1444,869,6
1095,582,25
901,639,25
515,855,25
551,133,25
847,1443,25
1375,253,25
1054,762,5
1302,1112,45
437,1157,53
1164,840,25
80,289,25
970,1157,25
42,790,25
16,341,78
948,706,12
459,1552,12
1389,560,8
819,968,5
392,287,12
75,530,5
883,898,31
509,989,8
950,1366,25
610,1302,5
502,236,77
37,301,25
965,786,25
37,397,5
609,874,25
34,1417,5
410,851,9
749,988,5
749,969,5
1446,1009,50
1054,938,43
107,412,8
970,597,75
583,340,25
688,1208,9
188,1340,25
746,1295,25
686,1026,25
385,574,25
302,400,25
182,562,25
1370,81,9
761,437,8
1190,776,6
670,571,25
169,444,25
686,299,71
840,81,6
127,1262,61
880,176,9
124,949,5
181,248,25
908,1384,75
526,379,25
683,699,14
166,81,6
525,915,25
166,94,6
256,840,51
691,1304,9
1314,749,5
1035,932,6
892,670,53
72,1363,25
675,1395,75
1250,814,66
1552,48,12
219,556,25
960,1345,25
955,410,25
774,926,51
271,695,25
655,1004,66
406,679,5
232,369,25
553,59,37
369,459,25
208,941,5
580,38,5
368,314,25
579,230,25
1397,172,5
171,1545,25
1030,844,12
1462,926,25
106,916,25
143,961,9
1071,488,25
409,1212,75
201,71,5
158,1144,25
573,560,25
162,881,5
1447,34,11
662,841,12
770,1148,66
1171,776,6
502,1079,25
1271,1257,3
838,700,25
1441,1144,66
690,421,25
116,1246,5
879,89,75
1539,94,25
314,603,25
851,1102,9
498,60,25
1136,943,8
272,749,5
1017,456,25
1359,729,25
366,388,73
403,355,8
288,650,53
287,286,25
67,1536,5
619,1008,9
1013,991,64
259,60,75
286,1240,25
657,86,5
368,475,37
935,1321,8
671,376,25
126,1215,57
649,1194,25
368,1296,25
491,691,45
197,573,53
989,176,9
769,722,12
379,796,25
1008,1433,5
651,938,25
974,1148,66
419,567,25
610,374,5
570,1510,25
1048,670,53
1138,454,63
1520,1139,78
754,888,53
792,819,5
159,475,64
583,516,75
147,653,66
913,622,25
405,295,72
944,294,5
770,1208,9
91,57,61
1126,760,66
12,68,12
156,845,5
41,400,43
210,1164,5
783,515,25
177,1235,34
152,409,5
389,653,66
152,827,5
173,105,5
907,1384,9
1392,38,9
1057,158,25
1501,582,0
1404,914,8
889,1246,5
1324,1129,53
852,1444,5
1390,60,25
903,717,5
455,1417,5
494,99,5
245,887,25
302,46,5
1470,147,8
679,945,47
1390,1416,53
649,120,25
263,60,5
263,24,5
819,623,9
1446,227,66
75,1141,25
1313,1222,5
667,317,25
800,46,5
1323,971,63
560,274,66
441,1479,66
91,1391,9
452,953,12
103,715,45
609,1064,9
462,636,25
815,1499,25
90,1304,25
1492,656,25
1552,787,14
30,1017,25
1404,990,64
910,1148,66
869,236,77
30,607,25
1122,117,45
1537,394,26
798,717,5
26,606,9
786,631,75
148,412,25
331,945,25
561,468,25
1030,670,25
424,210,25
555,1136,5
938,341,25
962,675,39
938,99,5
982,78,47
1414,176,25
1282,0,45
737,709,9
1475,723,12
321,680,25
1413,677,25
698,253,25
1386,259,5
650,167,53
120,502,25
319,686,9
1319,1304,9
485,597,9
713,887,53
456,336,75
731,364,45
1367,481,9
896,137,5
220,360,8
525,938,25
620,668,14
1065,290,9
518,1392,5
294,840,5
1333,679,5
1088,360,6
934,1459,3
1048,1345,25
502,597,9
687,1328,25
136,384,25
294,702,25
284,223,80
463,259,5
1311,1349,9
354,306,53
1171,796,25
267,401,50
780,807,14
254,725,25
1400,1271,25
584,863,25
1286,1167,9
1122,639,25
947,1055,40
219,1016,25
124,1249,80
47,871,5
468,1550,3
388,1027,5
402,553,9
1124,99,5
902,199,49
380,459,25
246,597,9
886,121,62
549,1397,25
956,1227,5
795,176,5
1451,1336,12
751,1224,45
197,254,53
991,761,12
56,1224,45
930,60,5
966,1154,5
1021,1304,9
966,1136,5
245,343,12
239,974,66
52,911,25
339,802,9
930,1349,9
754,1150,53
1545,343,25
1397,1136,75
173,1222,5
690,597,9
1320,477,51
1293,394,12
1186,763,53
631,658,31
856,824,75
1348,122,5
673,776,6
475,886,25
1360,1359,25
290,679,5
654,230,25
133,598,25
307,89,5
306,709,25
846,110,5
287,947,25
1264,133,15
1328,883,75
437,1233,53
286,157,5
147,991,73
324,760,25
286,122,5
230,659,25
1305,340,25
42,725,25
42,246,53
75,231,25
378,1296,25
419,443,25
876,1147,25
1004,1260,25
256,544,66
92,172,5
53,881,5
627,484,5
989,1444,9
1021,459,9
1439,746,25
92,355,8
587,941,5
1019,861,9
239,1141,25
155,389,25
960,482,25
666,1071,12
700,776,8
354,1006,53
711,1154,5
752,512,75
177,199,34
960,1062,25
188,1461,5
721,1139,25
304,1167,25
314,812,75
683,28,5
1050,1129,25
526,926,25
80,1194,25
880,657,5
898,374,9
614,989,25
1190,760,5
516,529,75
1332,1416,9
241,282,9
241,762,5
1159,641,25
296,416,46
1422,1207,48
222,1216,5
1292,883,75
35,749,5
643,1240,78
462,868,12
389,289,25
232,612,40
498,1370,53
31,912,25
921,1207,25
389,829,25
621,536,46
1537,517,26
423,1392,5
1186,1067,53
388,1328,5
991,55,9
1031,1388,9
1122,869,6
124,239,6
1241,308,5
1035,403,6
508,670,53
268,236,77
583,1332,8
1237,109,5
956,1181,25
794,1384,9
630,328,64
718,49,5
1235,717,5
360,248,25
755,510,5
594,650,53
5,74,25
948,1337,25
376,1144,25
898,1377,9
1363,158,25
464,594,25
522,1444,5
910,397,5
36,670,53
165,454,63
136,275,25
1171,1237,5
256,720,9
492,768,75
1186,617,5
970,33,40
287,659,25
1091,655,66
1186,1127,53
308,374,5
459,636,25
84,1129,25
1141,1349,9
288,911,25
232,871,5
1127,867,5
317,301,66
621,406,5
852,414,12
883,459,25
912,703,51
674,455,9
1463,259,5
16,60,78
841,340,66
253,37,66
56,1407,25
1253,889,25
342,1222,5
242,477,41
226,609,8
339,115,9
566,482,25
1227,1384,9
210,968,5
566,301,25
911,1217,5
1045,1159,77
156,1477,25
847,989,8
724,58,5
133,24,5
681,46,75
1502,467,45
1223,881,9
1057,1352,25
509,1106,14
1347,458,9
210,914,6
110,906,25
337,1129,31
1180,717,9
686,87,20
167,59,25
549,736,25
456,1196,50
341,900,34
683,780,25
302,89,5
649,289,25
1319,148,5
1091,581,25
754,657,53
819,110,5
223,791,25
650,204,1
1055,695,39
1122,1006,6
431,158,25
1145,530,5
275,475,25
700,315,11
1207,624,40
55,1510,25
179,304,66
195,792,25
1223,360,8
1286,578,9
565,294,5
249,361,76
1105,564,14
275,355,8
656,805,25
761,95,25
369,315,5
367,570,25
950,53,75
27,112,25
369,71,5
1223,1392,5
204,69,5
1225,1067,9
560,944,25
344,1028,57
1246,930,75
248,700,53
737,726,9
694,353,75
526,384,25
898,49,9
210,566,66
289,119,63
296,603,53
120,110,5
913,1159,25
1198,968,9
913,1227,5
525,1240,25
525,1012,61
734,1019,12
1188,770,9
210,1203,66
1162,1391,9
315,99,5
1536,94,6
813,480,25
605,1027,53
500,602,25
253,851,9
1185,1164,5
49,1005,9
1157,44,5
1441,444,66
572,1388,66
1321,926,34
801,516,75
1041,750,25
1350,597,8
623,860,5
324,331,66
86,46,9
579,801,25
304,837,25
971,888,8
82,437,25
28,412,5
1031,1470,9
1118,1322,9
185,222,25
934,1072,9
883,1458,8
351,1131,34
813,1446,66
955,1004,66
379,38,5
935,766,9
26,989,8
1198,94,6
964,119,75
620,303,63
38,961,9
950,636,9
906,1479,66
5,53,5
804,886,8
1066,81,6
1219,827,9
1198,71,9
1250,158,25
567,1027,53
730,86,5
731,1271,25
607,641,64
529,883,75
888,684,8
728,867,5
477,708,25
488,60,75
450,641,64
239,211,66
1378,837,9
477,1339,9
687,162,25
309,289,5
212,237,8
1344,695,9
690,564,14
889,1085,25
636,30,25
1440,878,12
302,1222,5
302,902,25
400,861,25
46,529,75
1390,1047,53
452,806,25
378,1440,25
795,1422,25
156,155,34
419,523,25
610,221,25
651,707,25
845,468,12
341,836,25
52,521,25
728,1458,8
340,378,25
570,614,25
275,739,25
218,1046,25
1398,529,75
56,264,14
1313,989,8
621,703,46
942,315,5
33,399,25
977,766,9
132,1324,8
955,1079,25
921,352,25
351,71,5
171,607,25
760,1072,5
561,1321,9
902,384,25
1225,293,9
636,289,73
1324,498,53
555,852,5
1235,1388,66
409,147,6
1521,923,9
1095,1102,9
110,1317,5
903,71,5
1057,1539,25
584,962,14
322,1001,25
106,354,9
943,1016,3
462,512,12
522,974,34
822,729,9
572,1112,45
801,670,53
621,883,75
197,520,53
1131,34,25
837,124,5
92,923,5
1174,286,5
1356,394,12
1064,657,25
641,270,25
1510,177,25
1188,214,41
89,27,5
272,988,5
89,352,25
828,1380,5
1141,588,9
585,49,5
47,28,5
827,321,78
882,1235,66
153,1050,25
423,1433,5
1271,299,25
179,1160,75
38,768,75
388,1347,25
1076,1405,12
1361,855,34
553,417,25
1258,459,5
203,1328,5
1241,484,5
76,641,37
1479,1360,25
607,1256,3
368,249,14
332,668,20
694,1194,75
321,1384,9
621,409,46
360,1401,25
1048,177,25
328,636,25
1088,1147,25
1066,1499,25
768,295,72
1089,137,5
935,458,8
1061,1100,14
486,256,25
1443,1348,66
896,798,9
1051,1227,5
1064,38,5
1547,355,8
835,926,25
499,271,25
115,1223,9
1186,49,5
540,586,12
250,87,12
354,1194,53
540,397,12
1404,1018,3
658,329,9
1344,568,9
454,1222,5
213,295,25
1235,388,50
267,106,50
1525,827,5
389,1347,66
400,482,25
290,776,6
812,896,75
1422,749,9
804,730,16
211,910,25
70,106,66
397,282,5
394,746,25
762,908,75
381,657,5
284,681,53
78,1502,45
377,86,9
916,855,73
948,412,5
819,310,45
1212,1237,75
1363,713,53
410,1362,25
770,241,25
1235,923,5
182,438,66
339,106,9
391,1136,5
690,121,25
1085,1422,25
195,28,5
1065,1536,9
18,1416,9
1360,225,25
1378,481,9
688,241,5
744,1127,25
168,639,1
1089,282,75
459,1304,9
1057,1422,25
193,1322,8
147,974,66
127,658,9
824,1253,25
1054,109,5
649,431,25
544,626,66
560,499,66
509,421,25
842,105,5
1014,1250,66
1192,1529,9
1446,331,66
243,525,5
243,617,5
44,840,75
610,1117,5
298,227,25
366,948,66
1019,455,9
815,1046,25
1336,147,6
1148,757,25
37,1398,36
1091,1185,63
1023,397,9
32,477,25
274,223,41
840,239,6
1286,522,9
568,734,25
49,46,9
289,1207,25
438,710,66
32,1088,25
568,1233,25
171,882,25
1210,455,9
36,935,12
125,690,12
26,474,9
1446,1235,66
148,221,25
786,512,75
380,1380,5
761,1359,25
344,941,9
1336,355,8
1260,1336,25
527,659,25
468,360,8
906,935,36
578,1095,25
467,207,12
55,726,44
368,691,45
528,969,5
1198,1148,46
1049,654,25
240,132,12
159,941,5
508,1392,5
526,527,25
120,176,5
573,887,53
521,717,5
857,444,5
153,889,78
462,418,25
1089,122,25
1188,798,9
221,369,25
1148,106,50
1063,527,25
844,1009,51
121,1489,8
1150,529,75
253,1139,25
1157,69,5
832,1392,5
1063,1027,53
1035,112,5
581,1474,25
29,1295,25
235,71,5
1066,729,12
761,1071,25
1185,1065,12
423,881,9
304,686,25
935,81,6
426,24,5
832,1458,6
81,455,9
599,105,5
956,1349,9
673,1479,9
422,1470,9
404,752,5
439,1444,5
673,1064,25
176,1203,66
306,201,53
794,69,5
119,776,8
363,1302,5
599,360,6
609,916,66
181,1377,9
923,988,12
990,586,12
609,485,66
201,697,25
366,91,83
162,384,25
341,324,9
751,225,25
1219,896,9
1067,136,25
41,954,39
927,881,9
310,560,6
1046,341,25
314,352,25
195,384,25
869,874,25
134,1085,25
1067,1150,25
499,926,25
287,594,25
133,1352,25
1157,1217,5
308,86,5
700,1364,25
268,915,53
1446,485,25
671,211,25
322,709,25
302,462,5
33,568,43
792,888,6
1320,881,9
211,385,25
1462,203,25
952,862,66
651,556,25
873,1502,66
52,573,25
968,941,5
752,1470,9
1021,89,9
731,1017,25
770,1154,5
770,1136,5
694,944,25
1005,1277,8
964,5,5
745,455,9
55,729,12
921,385,25
1485,286,5
110,1332,8
903,355,8
1401,950,25
763,230,25
1225,314,9
643,955,78
867,1139,25
630,456,25
171,99,5
1484,482,25
763,1363,25
1066,167,75
1368,560,8
328,566,66
1194,81,6
822,81,6
477,910,66
936,805,25
220,1016,3
220,1257,3
881,122,5
477,1072,75
148,81,6
1194,915,25
842,374,9
264,937,76
1023,211,12
1174,726,44
160,304,25
874,1139,25
610,1171,25
75,1510,25
50,147,6
574,894,66
888,106,66
1332,1377,9
275,667,25
1313,60,5
1217,1072,8
1336,1255,57
755,1005,66
464,1064,9
1311,549,9
770,289,73
661,444,5
220,439,9
1332,989,8
1390,302,53
27,156,25
737,30,12
1455,1428,0
617,1380,5
1258,1359,25
26,286,9
1484,1439,25
1138,556,25
384,71,5
1224,71,9
956,212,25
1122,891,14
936,105,5
1477,1413,8
945,631,75
362,762,5
1441,703,66
734,1129,25
620,842,63
893,1322,8
862,1014,25
880,1444,9
1386,819,5
936,147,8
913,1128,25
1337,1536,5
486,525,25
750,1008,9
485,923,9
892,122,25
486,341,25
754,1129,53
899,235,63
1510,480,25
827,989,8
1067,597,9
1296,314,25
463,346,9
155,549,25
850,439,9
1296,853,25
659,1139,25
480,176,9
309,811,25
1271,408,57
1345,136,25
1359,856,25
424,444,25
1444,403,8
151,691,45
827,1377,9
827,1433,25
1413,1405,0
1150,103,75
1141,1251,9
271,1137,25
1324,709,53
60,155,25
309,147,6
246,60,5
42,1492,25
1137,109,5
598,127,5
80,134,25
211,47,5
196,44,0
42,415,25
1057,935,36
850,1257,3
1268,110,5
648,281,25
328,1009,25
376,503,25
930,1461,5
1268,259,5
1139,753,63
431,1062,25
1258,870,71
16,770,78
196,18,9
405,441,72
95,147,8
1062,989,6
36,725,25
1487,752,5
486,536,77
503,1414,25
745,176,5
1001,1002,25
621,296,46
152,195,5
152,275,5
179,989,6
1105,211,34
534,827,5
1157,1240,25
59,48,38
153,882,25
783,914,6
551,436,25
725,124,25
1210,1017,12
167,148,25
286,346,5
1167,1470,9
502,1237,75
282,881,5
1050,968,5
1479,772,25
651,1050,25
665,1223,75
69,989,6
855,884,66
218,953,12
610,272,25
823,1443,25
472,635,25
722,1009,51
302,355,8
667,760,5
609,885,5
1012,1127,39
0,183,12
444,926,25
1054,675,39
1147,525,5
605,598,25
484,1322,8
412,502,25
945,1208,9
1550,786,0
216,1304,9
195,1302,5
190,923,5
662,1422,12
