d1,type,d2
DB00900,0,DB00362
DB09275,0,DB09241
DB09275,0,DB00817
DB00501,0,DB01112
DB00900,0,DB00639
DB01586,0,DB01054
DB01390,0,DB00618
DB06723,0,DB09449
DB13142,0,DB00487
DB13142,0,DB01044
DB09281,0,DB00508
DB01377,0,DB01137
DB00364,0,DB09040
DB09281,0,DB09561
DB01377,0,DB01059
DB00364,0,DB00646
DB00364,0,DB00254
DB01164,0,DB00827
DB00501,0,DB01254
DB09275,0,DB01246
DB09104,0,DB01069
DB13231,0,DB00487
DB00258,0,DB01155
DB09281,0,DB00933
DB01377,0,DB01254
DB09104,0,DB01254
DB00900,0,DB00826
DB00364,0,DB00525
DB08938,0,DB00618
DB08938,0,DB00679
DB09104,0,DB00254
DB00334,0,DB00705
DB09281,0,DB06824
DB01390,0,DB09414
DB03754,0,DB01059
DB06723,0,DB00850
DB00326,0,DB00467
DB11093,0,DB00166
DB13231,0,DB00166
DB09281,0,DB01254
DB09104,0,DB09146
DB08938,0,DB00817
DB00364,0,DB09561
DB00364,0,DB00239
DB06724,0,DB00508
DB01390,0,DB00679
DB09275,0,DB00467
DB00326,0,DB01208
DB01377,0,DB00437
DB13142,0,DB01196
DB06723,0,DB00685
DB00940,0,DB00705
DB06724,0,DB01208
DB01377,0,DB01403
DB00927,0,DB00705
DB00585,0,DB01254
DB09104,0,DB06824
DB03754,0,DB09449
DB00940,0,DB09146
DB00736,0,DB09146
DB09104,0,DB01155
DB00653,0,DB09093
DB09281,0,DB01137
DB09275,0,DB09414
DB11126,0,DB00779
DB09281,0,DB00487
DB06723,0,DB00831
DB00213,0,DB09146
DB09104,0,DB00827
DB00364,0,DB03793
DB09275,0,DB00420
DB11093,0,DB00817
DB13231,0,DB00817
DB01377,0,DB00817
DB13595,0,DB09093
DB11126,0,DB00487
DB06723,0,DB01208
DB13595,0,DB01608
DB09104,0,DB00850
DB06723,0,DB01254
DB00900,0,DB00793
DB06724,0,DB01608
DB00364,0,DB09031
DB01069,0,DB01254
DB00900,0,DB08958
DB00658,0,DB00685
DB03754,0,DB00850
DB06724,0,DB06824
DB11348,0,DB00685
DB09281,0,DB01069
DB09104,0,DB01208
DB01390,0,DB00831
DB00751,0,DB06589
DB00940,0,DB01416
DB06724,0,DB01024
DB01377,0,DB01069
DB00900,0,DB00877
DB00326,0,DB01044
DB00900,0,DB00400
DB11126,0,DB01155
DB11093,0,DB01059
DB09146,0,DB00166
DB00364,0,DB00582
DB09146,0,DB09449
DB13595,0,DB01137
DB09275,0,DB01044
DB09281,0,DB01059
DB11126,0,DB01059
DB13595,0,DB01017
DB00927,0,DB06589
DB00326,0,DB00779
DB03754,0,DB01403
DB06723,0,DB00618
DB06723,0,DB01017
DB00364,0,DB09093
DB09275,0,DB09146
DB09275,0,DB00508
DB09275,0,DB09449
DB01390,0,DB00623
DB00900,0,DB00738
DB09275,0,DB00951
DB09281,0,DB00433
DB00364,0,DB01153
DB00900,0,DB06697
DB06724,0,DB00951
DB06724,0,DB00467
DB00364,0,DB00735
DB13142,0,DB09449
DB09281,0,DB01246
DB06724,0,DB00420
DB01575,0,DB01627
DB00501,0,DB09146
DB00900,0,DB00582
DB11126,0,DB09414
DB06723,0,DB00679
DB00658,0,DB00827
DB13595,0,DB00437
DB13595,0,DB00420
DB00751,0,DB01112
DB09275,0,DB01608
DB00653,0,DB00166
DB08938,0,DB00680
DB01390,0,DB00433
DB11093,0,DB01196
DB13142,0,DB09561
DB00900,0,DB01007
DB06723,0,DB00487
DB09275,0,DB01208
DB01390,0,DB01069
DB00448,0,DB09146
DB03754,0,DB00508
DB13142,0,DB00166
DB08938,0,DB00779
DB09104,0,DB00166
DB00900,0,DB01099
DB09275,0,DB00850
DB08938,0,DB01059
DB11348,0,DB00779
DB06723,0,DB00623
DB09281,0,DB00254
DB01390,0,DB00827
DB06723,0,DB09414
DB01164,0,DB00166
DB00863,0,DB01254
DB01164,0,DB00779
DB09281,0,DB09241
DB09104,0,DB00951
DB00364,0,DB00877
DB13595,0,DB01059
DB01164,0,DB01196
DB00900,0,DB00936
DB13142,0,DB00779
DB01377,0,DB01155
DB09104,0,DB01059
DB01164,0,DB00817
DB09281,0,DB00477
DB00658,0,DB01155
DB03754,0,DB00827
DB01377,0,DB01608
DB01390,0,DB01059
DB00900,0,DB09040
DB08938,0,DB01069
DB00338,0,DB09146
DB00334,0,DB06589
DB00927,0,DB01254
DB00364,0,DB00738
DB06724,0,DB09093
DB13142,0,DB01137
DB00326,0,DB09561
DB09104,0,DB00623
DB08938,0,DB09414
DB00213,0,DB01072
DB09275,0,DB00680
DB01390,0,DB09561
DB11126,0,DB00817
DB01164,0,DB09449
DB00364,0,DB01243
DB01390,0,DB00951
DB09281,0,DB00779
DB11348,0,DB09449
DB09281,0,DB00951
DB13231,0,DB00685
DB00258,0,DB01059
DB01377,0,DB00487
DB11126,0,DB09449
DB08938,0,DB00477
DB11126,0,DB00166
DB09104,0,DB00420
DB03754,0,DB00437
DB06723,0,DB01403
DB09281,0,DB00618
DB00658,0,DB00487
DB09281,0,DB01403
DB08938,0,DB09241
DB01377,0,DB00680
DB13595,0,DB00933
DB00940,0,DB01112
DB03754,0,DB00680
DB09281,0,DB09146
DB11348,0,DB01044
DB00736,0,DB01072
DB03754,0,DB01208
DB09275,0,DB09561
DB00900,0,DB00520
DB08938,0,DB00623
DB13231,0,DB09414
DB06723,0,DB09093
DB00900,0,DB01167
DB00364,0,DB09041
DB08938,0,DB01208
DB00658,0,DB00467
DB13142,0,DB00685
DB00364,0,DB00857
DB06216,0,DB01416
DB00751,0,DB00705
DB03754,0,DB00817
DB01377,0,DB06824
DB11348,0,DB00827
DB00258,0,DB00817
DB09281,0,DB01017
DB01164,0,DB09414
DB00258,0,DB09414
DB00900,0,DB01127
DB05351,0,DB09146
DB13595,0,DB00467
DB09104,0,DB01246
DB06724,0,DB00817
DB11093,0,DB00467
DB01390,0,DB09093
DB01390,0,DB09449
DB00258,0,DB01044
DB06724,0,DB00779
DB09275,0,DB00831
DB11093,0,DB00487
DB01377,0,DB00623
DB00338,0,DB01072
DB00364,0,DB01188
DB08938,0,DB00850
DB01390,0,DB01208
DB09104,0,DB00618
DB09281,0,DB00467
DB01390,0,DB01044
DB00900,0,DB01026
DB08938,0,DB01137
DB03754,0,DB01155
DB00364,0,DB00257
DB13595,0,DB01069
DB08938,0,DB00827
DB13595,0,DB00679
DB00927,0,DB01416
DB00900,0,DB03793
DB11348,0,DB01208
DB09275,0,DB01403
DB06723,0,DB00933
DB01390,0,DB00680
DB09281,0,DB01024
DB11348,0,DB01059
DB13595,0,DB01208
DB13595,0,DB01403
DB13231,0,DB01155
DB01377,0,DB01044
DB00863,0,DB09146
DB00364,0,DB06697
DB03754,0,DB00487
DB00334,0,DB01112
DB00364,0,DB08943
DB09275,0,DB00827
DB01377,0,DB09241
DB13595,0,DB00850
DB01164,0,DB01059
DB00364,0,DB01127
DB00900,0,DB04794
DB00326,0,DB01059
DB01377,0,DB00779
DB00585,0,DB01416
DB09104,0,DB00437
DB03754,0,DB00433
DB01390,0,DB00437
DB08938,0,DB01246
DB01390,0,DB09241
DB06723,0,DB00433
DB06724,0,DB01254
DB00585,0,DB06589
DB13595,0,DB09449
DB01142,0,DB01112
DB00364,0,DB00618
DB06723,0,DB01069
DB00863,0,DB01416
DB13142,0,DB00817
DB06724,0,DB09241
DB01390,0,DB01246
DB09281,0,DB00817
DB00258,0,DB01137
DB00585,0,DB01112
DB01390,0,DB00487
DB13595,0,DB00433
DB01377,0,DB01208
DB00326,0,DB00487
DB06724,0,DB00623
DB09104,1,DB00422
DB00940,1,DB00884
DB09104,1,DB06701
DB00940,1,DB06701
DB01233,1,DB00091
DB13595,1,DB00422
DB00751,1,DB06701
DB00736,1,DB06701
DB06724,1,DB06701
DB09281,1,DB00422
DB01390,1,DB06701
DB09281,1,DB06701
DB06723,1,DB06701
DB05351,1,DB00182
DB06723,1,DB00422
DB00863,1,DB00884
DB00501,1,DB00422
DB00927,1,DB00422
DB00338,1,DB00422
DB00736,1,DB00422
DB01069,1,DB06701
DB00898,1,DB00864
DB01377,1,DB00422
DB01129,1,DB06701
DB01377,1,DB06701
DB06216,1,DB00884
DB00338,1,DB01576
DB00585,1,DB00422
DB00940,1,DB00422
DB00898,1,DB00374
DB00585,1,DB06701
DB00334,1,DB00884
DB09275,1,DB00422
DB08938,1,DB00422
DB00338,1,DB06701
DB00334,1,DB06701
DB00751,1,DB00422
DB00213,1,DB06701
DB13595,1,DB06701
DB00501,1,DB00884
DB03754,1,DB00422
DB01069,1,DB00422
DB09275,1,DB06701
DB00736,1,DB01576
DB01129,1,DB00422
DB00448,1,DB01576
DB00863,1,DB00422
DB00213,1,DB01576
DB00126,1,DB06723
DB05351,1,DB01576
DB00448,1,DB00422
DB00213,1,DB00182
DB00927,1,DB06701
DB00396,2,DB00582
DB00396,2,DB00362
DB00396,2,DB03793
DB00396,2,DB08958
DB00396,2,DB01157
DB00396,2,DB01167
DB00396,2,DB06820
DB00396,2,DB09031
DB00396,2,DB01127
DB00396,2,DB00525
DB00396,2,DB00257
DB00396,2,DB00793
DB00396,2,DB00735
DB00396,2,DB00857
DB00396,2,DB00681
DB00396,2,DB01153
DB00396,2,DB01026
DB00396,2,DB00639
DB00396,2,DB01263
DB00396,2,DB00091
DB00396,2,DB01188
DB00396,2,DB04794
DB00396,2,DB00196
DB00396,2,DB01243
DB00396,2,DB00520
DB00396,2,DB00877
DB00396,2,DB09040
DB00396,2,DB01007
DB00396,2,DB00826
DB01130,3,DB13595
DB00741,3,DB03754
DB00394,3,DB03754
DB00240,3,DB09281
DB01234,3,DB01390
DB01380,3,DB06724
DB00635,3,DB09275
DB00846,3,DB01377
DB06781,3,DB01390
DB00324,3,DB13595
DB01260,3,DB09281
DB00443,3,DB01377
DB08905,3,DB06723
DB09091,3,DB09104
DB00846,3,DB09275
DB00687,3,DB09275
DB01708,3,DB09275
DB00240,3,DB08938
DB00860,3,DB06723
DB00655,3,DB09275
DB00180,3,DB06724
DB01013,3,DB13595
DB01380,3,DB08938
DB01130,3,DB08938
DB06781,3,DB03754
DB00860,3,DB08938
DB08905,3,DB01390
DB00394,3,DB01390
DB00663,3,DB01390
DB08905,3,DB01377
DB00655,3,DB09104
DB00663,3,DB03754
DB00324,3,DB08938
DB09095,3,DB13595
DB00547,3,DB08938
DB09091,3,DB09275
DB00443,3,DB01390
DB09091,3,DB01377
DB00394,3,DB01377
DB11921,3,DB01377
DB00741,3,DB09104
DB06781,3,DB13595
DB00443,3,DB06724
DB06781,3,DB06723
DB00288,3,DB09281
DB00635,3,DB13595
DB00663,3,DB09275
DB08905,3,DB09281
DB00180,3,DB06723
DB08971,3,DB01377
DB01234,3,DB03754
DB00860,3,DB03754
DB13158,3,DB09281
DB08906,3,DB08938
DB00288,3,DB06723
DB01410,3,DB13595
DB00620,3,DB06724
DB00180,3,DB01377
DB00873,3,DB03754
DB00846,3,DB09104
DB00596,3,DB09104
DB01410,3,DB01377
DB08905,3,DB09275
DB01222,3,DB09104
DB00324,3,DB06724
DB00288,3,DB13595
DB00959,3,DB09104
DB04574,3,DB01390
DB00741,3,DB09275
DB01013,3,DB01390
DB06786,3,DB09281
DB01047,3,DB13595
DB00741,3,DB13595
DB01410,3,DB01390
DB00663,3,DB06724
DB00620,3,DB01377
DB00687,3,DB08938
DB00846,3,DB08938
DB00959,3,DB13595
DB06786,3,DB06724
DB00394,3,DB13595
DB09095,3,DB08938
DB00635,3,DB09281
DB00663,3,DB09104
DB00896,3,DB03754
DB00288,3,DB06724
DB00591,3,DB03754
DB00240,3,DB01390
DB00288,3,DB03754
DB06781,3,DB01377
DB01380,3,DB09275
DB01260,3,DB13595
DB01013,3,DB06723
DB00324,3,DB09275
DB13158,3,DB09104
DB01410,3,DB06724
DB00873,3,DB01377
DB01410,3,DB09281
DB08971,3,DB03754
DB04574,3,DB09275
DB01047,3,DB01377
DB00223,3,DB03754
DB01234,3,DB06723
DB00959,3,DB09281
DB00873,3,DB09281
DB01410,3,DB09275
DB08906,3,DB09281
DB00620,3,DB13595
DB09091,3,DB09281
DB01708,3,DB01377
DB00846,3,DB03754
DB09091,3,DB06724
DB01260,3,DB01390
DB00620,3,DB09281
DB00180,3,DB03754
DB00596,3,DB13595
DB00253,3,DB01377
DB00873,3,DB08938
DB01234,3,DB13595
DB08906,3,DB09275
DB00394,3,DB06724
DB00547,3,DB09104
DB00635,3,DB01377
DB00873,3,DB01390
DB01380,3,DB01390
DB01222,3,DB08938
DB01013,3,DB09275
DB01234,3,DB01377
DB00896,3,DB01390
DB00655,3,DB09281
DB00838,3,DB06723
DB00591,3,DB09104
DB04574,3,DB13595
DB00687,3,DB03754
DB01260,3,DB06724
DB00596,3,DB09275
DB09095,3,DB01377
DB00838,3,DB09104
DB01047,3,DB06724
DB00896,3,DB06723
DB13158,3,DB03754
DB00588,3,DB01377
DB00873,3,DB09104
DB00860,3,DB01377
DB13158,3,DB06724
DB13158,3,DB13595
DB00588,3,DB06723
DB01410,3,DB03754
DB00687,3,DB13595
DB00394,3,DB08938
DB00547,3,DB03754
DB04574,3,DB06723
DB08906,3,DB03754
DB01260,3,DB03754
DB06786,3,DB13595
DB06786,3,DB03754
DB08971,3,DB13595
DB06781,3,DB09104
DB00860,3,DB13595
DB00838,3,DB01377
DB00838,3,DB01390
DB00635,3,DB06724
DB09095,3,DB01390
DB01013,3,DB06724
DB00635,3,DB06723
DB01708,3,DB13595
DB01380,3,DB03754
DB00253,3,DB06724
DB13158,3,DB09275
DB00288,3,DB01390
DB01222,3,DB09281
DB00253,3,DB06723
DB00591,3,DB01390
DB11921,3,DB13595
DB00180,3,DB08938
DB00959,3,DB06724
DB00896,3,DB06724
DB00180,3,DB09281
DB00741,3,DB06723
DB01260,3,DB06723
DB00240,3,DB03754
DB01234,3,DB09104
DB01222,3,DB09275
DB00394,3,DB06723
DB08906,3,DB13595
DB01047,3,DB09275
DB00620,3,DB09275
DB01708,3,DB09281
DB01708,3,DB03754
DB01380,3,DB01377
DB00394,3,DB09275
DB01047,3,DB03754
DB01380,3,DB09281
DB00838,3,DB08938
DB11921,3,DB06723
DB08971,3,DB09104
DB01380,3,DB13595
DB00324,3,DB09104
DB09091,3,DB06723
DB00663,3,DB01377
DB11921,3,DB01390
DB00596,3,DB08938
DB06781,3,DB09281
DB00838,3,DB13595
DB00620,3,DB08938
DB00591,3,DB08938
DB00860,3,DB09275
DB00253,3,DB09104
DB01130,3,DB03754
DB01047,3,DB08938
DB00223,3,DB09281
DB00959,3,DB06723
DB06786,3,DB06723
DB00838,3,DB03754
DB04574,3,DB03754
DB00223,3,DB01390
DB00687,3,DB06723
DB00896,3,DB09281
DB00959,3,DB03754
DB00838,3,DB09275
DB01708,3,DB06724
DB01047,3,DB09104
DB00288,3,DB08938
DB09095,3,DB06724
DB00741,3,DB01377
DB00896,3,DB13595
DB01260,3,DB01377
DB09095,3,DB06723
DB00324,3,DB09281
DB00324,3,DB01377
DB08971,3,DB09275
DB01260,3,DB09275
DB00223,3,DB09275
DB00896,3,DB09275
DB01222,3,DB06724
DB00741,3,DB01390
DB00547,3,DB06724
DB00591,3,DB09281
DB00687,3,DB09104
DB00663,3,DB09281
DB01130,3,DB09104
DB00663,3,DB13595
DB00896,3,DB08938
DB13158,3,DB01390
DB00687,3,DB06724
DB00655,3,DB13595
DB00443,3,DB03754
DB01410,3,DB08938
DB01708,3,DB09104
DB00588,3,DB06724
DB00846,3,DB13595
DB01013,3,DB01377
DB01260,3,DB09104
DB00223,3,DB01377
DB08905,3,DB06724
DB00240,3,DB06724
DB06786,3,DB01377
DB00596,3,DB06724
DB01130,3,DB06723
DB01222,3,DB01390
DB01234,3,DB08938
DB08906,3,DB06724
DB00253,3,DB13595
DB00288,3,DB09275
DB00253,3,DB09275
DB01234,3,DB06724
DB00324,3,DB03754
DB13158,3,DB01377
DB08971,3,DB01390
DB00860,3,DB09281
DB00846,3,DB06723
DB08971,3,DB09281
DB00873,3,DB09275
DB01047,3,DB09281
DB08971,3,DB06723
DB00588,3,DB13595
DB09091,3,DB13595
DB00596,3,DB03754
DB00741,3,DB09281
DB00394,3,DB09104
DB08906,3,DB01390
DB00240,3,DB09104
DB00324,3,DB01390
DB00588,3,DB09104
DB00443,3,DB09275
DB00547,3,DB09281
DB00591,3,DB01377
DB08906,3,DB06723
DB00588,3,DB08938
DB00588,3,DB03754
DB00655,3,DB08938
DB11921,3,DB09281
DB01708,3,DB08938
DB00180,3,DB09104
DB06781,3,DB09275
DB01130,3,DB09281
DB00655,3,DB06723
DB13158,3,DB06723
DB00846,3,DB09281
DB01186,4,DB00727
DB00320,4,DB00727
DB00696,4,DB00727
DB01200,4,DB00727
DB00589,4,DB00727
DB00247,4,DB00727
DB00950,4,DB00661
DB01115,5,DB00502
DB08901,5,DB00257
DB01253,5,DB09054
DB00468,5,DB00476
DB00912,5,DB00675
DB01261,5,DB00263
DB08860,5,DB01118
DB01114,5,DB01319
DB00864,5,DB00542
DB05381,5,DB00661
DB04841,5,DB01104
DB00433,5,DB04868
DB01002,5,DB00227
DB00661,5,DB00622
DB00598,5,DB01075
DB00831,5,DB06290
DB00852,5,DB00215
DB00783,5,DB01171
DB13874,5,DB01151
DB05541,5,DB00289
DB04871,5,DB01026
DB00850,5,DB01029
DB06636,5,DB00091
DB00818,5,DB00208
DB00567,5,DB00951
DB00757,5,DB00254
DB04574,5,DB08865
DB00332,5,DB00224
DB04946,5,DB00254
DB05271,5,DB01167
DB08907,5,DB00227
DB01587,5,DB00289
DB00918,5,DB01156
DB00788,5,DB04868
DB01591,5,DB00289
DB00213,5,DB00289
DB01171,5,DB01097
DB00530,5,DB00289
DB00972,5,DB00322
DB00972,5,DB09054
DB01041,5,DB00208
DB00726,5,DB06414
DB00889,5,DB00496
DB00796,5,DB01015
DB00188,5,DB00176
DB01124,5,DB01129
DB00814,5,DB00705
DB00784,5,DB00625
DB00956,5,DB08893
DB00863,5,DB09039
DB01028,5,DB01118
DB00514,5,DB00283
DB01195,5,DB04871
DB00349,5,DB00254
DB00818,5,DB06636
DB00337,5,DB08865
DB00661,5,DB01124
DB00943,5,DB00264
DB00337,5,DB09074
DB00822,5,DB00343
DB00836,5,DB00857
DB00860,5,DB00705
DB01020,5,DB01149
DB00849,5,DB09120
DB00250,5,DB09065
DB00539,5,DB06636
DB00783,5,DB00446
DB06292,5,DB00976
DB00568,5,DB08865
DB01191,5,DB00622
DB00307,5,DB01167
DB00571,5,DB00752
DB00324,5,DB01149
DB06209,5,DB00322
DB00570,5,DB00246
DB00482,5,DB04868
DB01234,5,DB12332
DB00731,5,DB00338
DB00869,5,DB01097
DB00568,5,DB00349
DB00675,5,DB00440
DB00201,5,DB00264
DB09053,5,DB06697
DB00481,5,DB00976
DB06654,5,DB00289
DB06209,5,DB00752
DB00356,5,DB00176
DB01392,5,DB00976
DB00699,5,DB00264
DB11613,5,DB01118
DB09101,5,DB00220
DB06148,5,DB01319
DB00589,5,DB00907
DB00808,5,DB01601
DB00377,5,DB09167
DB00481,5,DB01232
DB01132,5,DB01601
DB00622,5,DB00289
DB00175,5,DB00343
DB00589,5,DB01403
DB00425,5,DB00208
DB04572,5,DB00661
DB00240,5,DB00220
DB00216,5,DB00678
DB00918,5,DB00338
DB00373,5,DB00246
DB00852,5,DB00502
DB01115,5,DB00496
DB06204,5,DB00472
DB00213,5,DB00281
DB00316,5,DB00705
DB00530,5,DB00715
DB00688,5,DB00412
DB01392,5,DB01072
DB00370,5,DB01156
DB00675,5,DB01263
DB00643,5,DB01232
DB06292,5,DB01403
DB00998,5,DB00268
DB00451,5,DB00289
DB05039,5,DB06636
DB01380,5,DB01211
DB00471,5,DB00224
DB00136,5,DB00254
DB00363,5,DB06413
DB01196,5,DB00224
DB00349,5,DB00220
DB00759,5,DB04855
DB08910,5,DB00188
DB01393,5,DB00176
DB06772,5,DB00285
DB01223,5,DB08873
DB00706,5,DB00270
DB00675,5,DB06636
DB00799,5,DB04868
DB00296,5,DB00857
DB06789,5,DB00619
DB00661,5,DB00289
DB00849,5,DB01104
DB00230,5,DB01211
DB00604,5,DB00482
DB00231,5,DB01167
DB06209,5,DB00177
DB00482,5,DB00270
DB00969,5,DB04868
DB00612,5,DB00679
DB01589,5,DB00678
DB01248,5,DB00362
DB13179,5,DB00619
DB01435,5,DB00224
DB00472,5,DB01232
DB13874,5,DB00997
DB06210,5,DB00207
DB00655,5,DB00398
DB06697,5,DB09074
DB00281,5,DB00472
DB00363,5,DB00205
DB06292,5,DB00322
DB01244,5,DB01242
DB09570,5,DB00320
DB00818,5,DB01319
DB01218,5,DB01403
DB01107,5,DB01403
DB00381,5,DB00199
DB01589,5,DB00440
DB01216,5,DB01263
DB00356,5,DB00622
DB00755,5,DB00177
DB00914,5,DB00502
DB00503,5,DB09167
DB01183,5,DB00270
DB08896,5,DB00203
DB06789,5,DB00343
DB00248,5,DB12332
DB01181,5,DB00622
DB00864,5,DB00656
DB01126,5,DB00243
DB05381,5,DB00203
DB06209,5,DB00254
DB09076,5,DB00420
DB00477,5,DB00169
DB00333,5,DB00745
DB06589,5,DB06708
DB00370,5,DB01241
DB06145,5,DB01263
DB00829,5,DB01149
DB00188,5,DB00177
DB06292,5,DB00420
DB01196,5,DB00196
DB01058,5,DB00619
DB00897,5,DB00243
DB00433,5,DB00622
DB00850,5,DB00169
DB01177,5,DB00208
DB00604,5,DB00313
DB00338,5,DB00270
DB00983,5,DB00398
DB00849,5,DB00220
DB00934,5,DB00501
DB01039,5,DB00188
DB00784,5,DB00622
DB01559,5,DB04868
DB01435,5,DB00196
DB05109,5,DB00177
DB00628,5,DB01072
DB01221,5,DB08880
DB01587,5,DB01264
DB01179,5,DB00176
DB11613,5,DB00482
DB00604,5,DB00268
DB08895,5,DB09120
DB04898,5,DB01241
DB01035,5,DB00264
DB00281,5,DB00300
DB04841,5,DB00496
DB08828,5,DB00549
DB00370,5,DB01149
DB01396,5,DB00091
DB01138,5,DB01118
DB01224,5,DB00169
DB00549,5,DB01118
DB00623,5,DB04868
DB08932,5,DB00338
DB01050,5,DB01023
DB08896,5,DB00199
DB01026,5,DB00257
DB00997,5,DB00268
DB05109,5,DB00270
DB00897,5,DB01263
DB01248,5,DB01110
DB08439,5,DB00320
DB08893,5,DB00705
DB00912,5,DB01023
DB00624,5,DB00398
DB01396,5,DB00208
DB08895,5,DB00203
DB04930,5,DB00283
DB00946,5,DB05219
DB05271,5,DB00379
DB06684,5,DB06595
DB00296,5,DB00207
DB06403,5,DB01026
DB00549,5,DB01264
DB05109,5,DB00184
DB01544,5,DB01101
DB11362,5,DB01211
DB00539,5,DB00320
DB00180,5,DB00661
DB00495,5,DB01104
DB00540,5,DB01241
DB01296,5,DB00446
DB00396,5,DB00549
DB00334,5,DB00281
DB00333,5,DB00736
DB12332,5,DB08893
DB01039,5,DB04868
DB11921,5,DB09074
DB00741,5,DB08873
DB05381,5,DB08873
DB00281,5,DB01211
DB00521,5,DB01026
DB06292,5,DB00908
DB01435,5,DB00277
DB01065,5,DB09118
DB01587,5,DB00199
DB01132,5,DB00227
DB00904,5,DB09074
DB01628,5,DB01118
DB00588,5,DB00196
DB01065,5,DB00203
DB00268,5,DB01149
DB00409,5,DB00238
DB01175,5,DB00625
DB00655,5,DB00625
DB00724,5,DB08873
DB01065,5,DB00238
DB00521,5,DB06708
DB00336,5,DB01012
DB00836,5,DB00195
DB00497,5,DB00503
DB00356,5,DB00661
